"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20240620008049A","20-JUN-24","CRETE","NE","CRETE MUNI","","","","","","","","","","","","0","0","","","","","","570","","",""
"20240620008129I","20-JUN-24","WINNSBORO","SC","FAIRFIELD COUNTY","","","","","","","","","","","","0","0","","","","","","1480","","",""
"20240620008429A","20-JUN-24","HERNANDO","FL","TWELVE OAKS","","","","","","","","","","","","0","0","","","","","","","","",""
"20240620009269A","20-JUN-24","FORTUNA","CA","","","","","","","","","","","","","0","0","","","","","","2700","","",""
"20240620012079I","20-JUN-24","CLEBURNE","TX","CLEBURNE RGNL","","","","","","","","","","","","0","0","","","","","","","17","3",""
"20240621006189I","21-JUN-24","SMITHS CREEK","MI","ST CLAIR COUNTY INTL","","","","","","","","","","","","0","0","","","","","","6141","","",""
"20240621006199I","21-JUN-24","FLINT","MI","BISHOP INTL","","","","","","","","","","","","0","0","","","","","","18920","","",""
"20240621007169I","21-JUN-24","COLORADO SPRINGS","CO","CITY OF COLORADO SPRINGS MUNI","","","","","","","","","","","","0","0","","","","","","1336","","",""
"20240621007229A","21-JUN-24","CAPITAN","NM","","","","","","","","","","","","","1","0","","","","","","14000","","129",""
"20240621007389I","21-JUN-24","RALEIGH","NC","RALEIGH","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","72","72","27",""
"20240621007759A","21-JUN-24","YELLOW PINE","ID","REED RANCH","","","","","","","","","","","","0","1","","","","","","895","140","22",""
"20240621009259A","21-JUN-24","PINE ISLAND","FL","HERNANDO COUNTY","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","","","",""
"20240621010569I","21-JUN-24","NEW HAMPTON","NY","","","","","","","","","","","","","0","0","","","","","","16000","1500","175",""
"20240621010839A","21-JUN-24","SOPCHOPPY","FL","TALLAHASSEE RGNL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240621018049I","21-JUN-24","EL CAJON","CA","GILLESPIE FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240622006909I","22-JUN-24","GROVELAND","CA","PINE MOUNTAIN LAKE","","","","","","","","","","","","0","0","","","","","","3429","346","47",""
"20240622007219I","22-JUN-24","WATKINS","CO","","","","","","","","","","","","","0","0","","","","","","13557","","",""
"20240622007489A","22-JUN-24","CHAMBERLAIN","ID","CHAMBERLAIN USFS","","","","","","","","","","","","0","0","","","","","","524","63","10",""
"20240622008239I","22-JUN-24","PENROSE","CO","FREMONT COUNTY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240622008689A","22-JUN-24","THIBODAUX","LA","THIBODAUX MUNI","","","","","","","","","","","","0","0","","","","","","202","4","18",""
"20240622008829A","22-JUN-24","DOUGLAS","WY","","","","","","","","","","","","","0","0","","","","","","2500","","",""
"20240622012689I","22-JUN-24","BELEN","NM","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240623006299A","23-JUN-24","TOK","AK","TOK JUNCTION","","","","","","","","","","","","0","0","","","","","","185","88","49",""
"20240623006789A","23-JUN-24","GREAT FALLS","MT","","","","","","","","","","","","","0","0","","","","","","560","63","35",""
"20240623007749A","23-JUN-24","GREENWOOD","SC","LAURENS COUNTY","","","","","","","","","","","","0","0","","","","","","603","","",""
"20240623007819I","23-JUN-24","PORTLAND","OR","PORTLAND INTL","","","","","","","HORIZON AIR INDUSTRIES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","2767","1014","164",""
"20240623007859I","23-JUN-24","STEVENSVILLE","MT","STEVENSVILLE","","","","","","","","","","","","0","0","","","","","","122","38","8",""
"20240623008259I","23-JUN-24","NORTH MYRTLE BEACH","SC","GRAND STRAND","","","","","","","","","","","","0","0","","","","","","116","","",""
"20240623009019A","23-JUN-24","","WA","","","","","","","","","","","","","0","0","","","","","","699","236","5",""
"20240623011359I","23-JUN-24","BOERNE","TX","BOERNE STAGE FIELD","","","","","","","","","","","","0","0","","","","","","393","","",""
"20240623012069A","23-JUN-24","LEAVENWORTH","KS","SHERMAN AAF","","","","","","","","","","","","0","0","","","","","","6500","1600","200",""
"20240623012699I","23-JUN-24","ALBUQUERQUE","NM","ALBUQUERQUE INTL SUNPORT","","","","","","","","","","","","0","0","","","","","","100","100","20",""
"20240623015519A","23-JUN-24","WAHOO","NE","WAHOO MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240624008039I","24-JUN-24","TOUGHKENAMON","PA","NEW GARDEN","","","","","","","","","","","","0","0","","","","","","3000","3000","10",""
"20240624008229I","24-JUN-24","CLEVELAND","OH","BURKE LAKEFRONT","","","","","","","","","","","","0","0","","","","","","110","110","21",""
"20240624008419I","24-JUN-24","TROUTDALE","OR","PORTLAND-TROUTDALE","","","","","","","","","","","","0","0","","","","","","1800","800","9",""
"20240624012339I","24-JUN-24","FIRE ISLAND PINES","NY","LONG ISLAND MAC ARTHUR","","","","","","","","","","","","0","0","","","","","","630","","",""
"20240625006629I","25-JUN-24","PLEASANT SHADE","TN","","","","","","","","","","","","","0","0","","","","","","865","","",""
"20240625007329A","25-JUN-24","INDEPENDENCE","OR","INDEPENDENCE STATE","","","","","","","","","","","","0","0","","","","","","55","","",""
"20240625007479A","25-JUN-24","MONTGOMERY","AL","MONTGOMERY RGNL (DANNELLY FIELD)","","","","","","","","","","","","0","0","","","","","","1701","","",""
"20240625007549I","25-JUN-24","SPRING","TX","DAVID WAYNE HOOKS MEMORIAL","","","","","","","","","PILOT SCHOOLS","","","0","0","","","","","","140","","",""
"20240625008219I","25-JUN-24","LOVELAND","CO","FORT COLLINS-LOVELAND MUNI","","","","","","","","","","","","0","0","","","","","","910","491","62",""
"20240625008719A","25-JUN-24","MEDINA","OH","MEDINA MUNI","","","","","","","","","","","","0","0","","","","","","7820","160","25",""
"20240625008989A","25-JUN-24","","ME","BANKS","","","","","","","","","","","","0","1","","","","","","541","405","2",""
"20240625008999I","25-JUN-24","FORT DEPOSIT","AL","","","","","","","","","","","","","0","0","","","","","","1219","","",""
"20240625009189A","25-JUN-24","NEPHI","UT","NEPHI MUNI","","","","","","","","","","","","0","0","","","","","","362","269","10",""
"20240625009519A","25-JUN-24","PLEASANT GROVE","CA","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","","","",""
"20240625010709I","25-JUN-24","MESQUITE","TX","MESQUITE METRO","","","","","","","AMERICAN FLYERS","","PILOT SCHOOLS","","","0","0","","","","","","56","56","56",""
"20240625011439A","25-JUN-24","DONA ANA","NM","","","","","","","","","","","","","1","0","","","","","","280","","",""
"20240625012299A","25-JUN-24","MARTIN","TN","","","","","","","","","","AGRICULTURAL","","","1","0","","","","","","33792","175","",""
"20240625017909A","25-JUN-24","NEW IPSWICH","NH","","","","","","","","","","","","","0","1","","","","","","26500","","",""
"20240626006989A","26-JUN-24","CORDOVA","AK","","","","","","","","","","","","","0","0","","","","","","850","700","40",""
"20240626007739A","26-JUN-24","RIO LINDA","CA","RIO LINDA","","","","","","","","","","","","0","0","","","","","","","","",""
"20240626007779I","26-JUN-24","MIDLAND","MI","JACK BARSTOW","","","","","","","","","","","","0","0","","","","","","1600","1000","30",""
"20240626008499A","26-JUN-24","DELAND","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240626009919I","26-JUN-24","COEUR D'ALENE","ID","","","","","","","","","","","","","0","0","","","","","","","","34",""
"20240627006519I","27-JUN-24","TULSA","OK","TULSA INTL","","","","","","","","","","","","0","0","","","","","","44","44","13",""
"20240627008029I","27-JUN-24","NEW BRAUNFELS","TX","NEW BRAUNFELS MUNI","","","","","","","","","","","","0","0","","","","","","1594","","",""
"20240627008189A","27-JUN-24","CALHAN","CO","COLORADO SPRINGS EAST","","","","","","","","","","","","0","1","","","","","","280","21","10",""
"20240627008979A","27-JUN-24","FALLON","NV","FALLON MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240627010549A","27-JUN-24","ANDOVER","MO","LAMONI MUNI","","","","","","","","","AGRICULTURAL","","","0","1","","","","","","918","301","56",""
"20240627010559I","27-JUN-24","GREEN BAY","WI","AUSTIN STRAUBEL INTL","","","","","","","","","","","","0","0","","","","","","61","35","8",""
"20240627010799A","27-JUN-24","MC KINNEY","TX","COLLIN COUNTY RGNL AT MC KINNEY","","","","","","","","","","","","2","0","","","","","","1544","10","",""
"20240627011349A","27-JUN-24","DULUTH","MN","DULUTH INTL","","","","","","","","","","","","0","0","","","","","","25000","","",""
"20240627011959I","27-JUN-24","GREEN BAY","WI","AUSTIN STRAUBEL INTL","","","","","","","","","","","","0","0","","","","","","53","31","6",""
"20240628007899A","28-JUN-24","JUNEAU","AK","JUNEAU INTL","","","","","","","","","","","","0","0","","","","","","4100","","",""
"20240628008639A","28-JUN-24","CEDAR CITY","UT","CEDAR CITY RGNL","","","","","","","","","","","","0","1","","","","","","","","",""
"20240628008649A","28-JUN-24","OXNARD","CA","OXNARD","","","","","","","","","","","","0","0","","","","","","34","33","34",""
"20240628009169A","28-JUN-24","BIG CREEK","ID","BIG CREEK","","","","","","","","","","","","1","0","","","","","","572","","",""
"20240629007039A","29-JUN-24","LEWISTON WOODVILLE","NC","","","","","","","","","","","","","0","0","","","","","","","","",""
"20240629007559I","29-JUN-24","CHANTILLY","VA","WASHINGTON DULLES INTL","","","","","","","MESA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","9105","","",""
"20240629008139I","29-JUN-24","LAURENS","SC","LAURENS COUNTY","","","","","","","","","","","","0","0","","","","","","1500","","",""
"20240629008179A","29-JUN-24","MIDLAND","TX","MIDLAND INTL","","","","","","","","","","","","0","0","","","","","","6359","978","131",""
"20240629008359I","29-JUN-24","","ID","SMILEY CREEK","","","","","","","","","","","","0","0","","","","","","2260","","",""
"20240629008729I","29-JUN-24","GREENSBORO","NC","PIEDMONT TRIAD INTL","","","","","","","","","","","","0","0","","","","","","444","","",""
"20240629011199I","29-JUN-24","DURANGO","CO","DURANGO-LA PLATA COUNTY","","","","","","","","","","","","0","0","","","","","","411","136","6",""
"20240629015779A","29-JUN-24","TOCCOA","GA","TOCCOA RG LETOURNEAU FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240630006469A","30-JUN-24","LELAND","MS","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1451","1201","40",""
"20240630007539I","30-JUN-24","SAN ANTONIO","TX","SAN ANTONIO INTL","","","","","","","","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240630008019A","30-JUN-24","TACOMA","WA","TACOMA NARROWS","","","","","","","","","","","","0","0","","","","","","13216","3","17",""
"20240630008149A","30-JUN-24","CALIMESA","CA","","","","","","","","","","","","","0","1","","","","","","","","",""
"20240630008469I","30-JUN-24","IROQUOIS","SD","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","","","",""
"20240630009179A","30-JUN-24","TROUT CREEK","NY","","","","","","","","","","","","","5","0","","","","","","1500","","",""
"20240630009429A","30-JUN-24","SALUDA","SC","SALUDA COUNTY","","","","","","","","","","","","0","0","","","","","","2372","2132","32",""
"20240630010019I","30-JUN-24","MARSHALL","MN","SOUTHWEST MINNESOTA RGNL MARSHALL/RYAN FLD","","","","","","","","","","","","0","0","","","","","","470","350","5",""
"20240630010269A","30-JUN-24","SELDEN","KS","","","","","","","","","","","","","2","0","","","","","","","","",""
"20240630011369I","30-JUN-24","LEXINGTON","KY","BLUE GRASS","","","","","","","","","","","","0","0","","","","","","","","",""
"20240630011879A","30-JUN-24","ALBANY","OH","OHIO UNIVERSITY SNYDER FIELD","","","","","","","","","","","","0","0","","","","","","","","",""
"20240630013039A","30-JUN-24","RICHMOND","VA","RICHMOND INTL","","","","","","","","","","","","0","0","","","","","","9154","2252","58",""
"20240701008629A","01-JUL-24","GREENVILLE","NC","PITT-GREENVILLE","","","","","","","","","","","","0","0","","","","","","","","",""
"20240701008879I","01-JUL-24","REDMOND","OR","ROBERTS FIELD","","","","","","","","","","","","0","0","","","","","","466","399","64",""
"20240701009809I","01-JUL-24","HOMESTEAD","FL","HOMESTEAD GENERAL AVIATION","","","","","","","","","","","","0","0","","","","","","400","37","11",""
"20240702006259I","02-JUL-24","MERRITT ISLAND","FL","MERRITT ISLAND","","","","","","","AIRBORNE SYSTEMS","","PILOT SCHOOLS","","","0","0","","","","","","59","59","20",""
"20240702009499A","02-JUL-24","SCAPPOOSE","OR","SCAPPOOSE INDUSTRIAL AIRPARK","","","","","","","","","","","","0","0","","","","","","","","",""
"20240702010829I","02-JUL-24","EUGENE","OR","MAHLON SWEET FIELD","","","","","","","SKYWEST AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240702011559I","02-JUL-24","MARSHALL","MO","MARSHALL MEMORIAL MUNI","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","650","","",""
"20240702011739A","02-JUL-24","","","COZUMEL INTL","","","","","","","UNITED AIR LINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","","",""
"20240702016419I","02-JUL-24","PERRYVILLE","MO","PERRYVILLE MUNI","","","","","","","","","","","","0","0","","","","","","12000","","",""
"20240703007529I","03-JUL-24","HOUMA","LA","HOUMA-TERREBONNE","","","","","","","ERA AVIATION INC","","","","","0","0","","","","","","","","",""
"20240703008819I","03-JUL-24","EAGLE","CO","EAGLE COUNTY RGNL","","","","","","","","","","","","0","0","","","","","","5249","2280","213",""
"20240703008869A","03-JUL-24","LARAMIE","WY","LARAMIE RGNL","","","","","","","","","","","","0","0","","","","","","725","725","16",""
"20240703011189I","03-JUL-24","BISMARCK","ND","BISMARCK MUNI","","","","","","","","","","","","0","0","","","","","","353","","",""
"20240703015769I","03-JUL-24","PEACHTREE CITY","GA","ATLANTA RGNL FALCON FIELD","","","","","","","","","","","","0","0","","","","","","1943","291","61",""
"20240704007939A","04-JUL-24","DOWAGIAC","MI","DOWAGIAC MUNI","","","","","","","","","","","","0","0","","","","","","30200","4000","15",""
"20240704008109I","04-JUL-24","NEW CUMBERLAND","PA","CAPITAL CITY","","","","","","","","","","","","0","0","","","","","","","","",""
"20240704008319I","04-JUL-24","SALISBURY","MD","SALISBURY-OCEAN CITY WICOMICO RGNL","","","","","","","","","","","","0","0","","","","","","2765","","",""
"20240704008739A","04-JUL-24","FRANKFORD","DE","","","","","","","","","","","","","0","0","","","","","","407","101","129",""
"20240704008949I","04-JUL-24","LEADVILLE","CO","LAKE COUNTY","","","","","","","","","","","","0","0","","","","","","2630","375","170",""
"20240704009219A","04-JUL-24","FAYETTEVILLE","AR","DRAKE FIELD","","","","","","","","","","","","0","0","","","","","","977","780","15",""
"20240704010009A","04-JUL-24","MYERSTOWN","PA","DECK","","","","","","","","","","","","0","0","","","","","","1895","","",""
"20240704010489A","04-JUL-24","MAYBEE","MI","","","","","","","","","","","","","0","0","","","","","","123","","",""
"20240704010619A","04-JUL-24","NEW FLORENCE","MO","","","","","","","","","","AGRICULTURAL","","","0","0","","","","","","1195","324","122",""
"20240704015509A","04-JUL-24","LOCK HAVEN","PA","WILLIAM T. PIPER MEMORIAL","","","","","","","","","","","","1","0","","","","","","26","26","13",""
"20240705007309I","05-JUL-24","KALISPELL","MT","GLACIER PARK INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240705010539A","05-JUL-24","ANDALE","KS","","","","","","","","","","","","","1","0","","","","","","","","",""
"20240705011719I","05-JUL-24","CHARLOTTE","NC","CHARLOTTE/DOUGLAS INTL","","","","","","","PSA AIRLINES INC","","AIR CARRIER/COMMERCIAL","","","0","0","","","","","","","1447","172",""
"20240706007209A","06-JUL-24","CLEARWATER","FL","ST PETERSBURG-CLEARWATER INTL","","","","","","","","","","","","0","0","","","","","","","","",""
"20240706007699I","06-JUL-24","PUEBLO","CO","PUEBLO MEMORIAL","","","","","","","AIR METHODS CORP","","","","","0","0","","","","","","11882","","",""
"20240706007769A","06-JUL-24","STILLWATER","OK","","","","","","","","","","","","","0","2","","","","","","4200","300","1",""
"20240706007929A","06-JUL-24","EATONVILLE","WA","SWANSON","","","","","","","","","","","","2","0","","","","","","","","",""
"20240706009729I","06-JUL-24","HILLROSE","CO","FORT MORGAN MUNI","","","","","","","","","","","","0","0","","","","","","","","",""
"20240706010689A","06-JUL-24","LEESBURG","FL","","","","","","","","","","","","","0","0","","","","","","","","",""
